full_path,size_bytes,extension,label,file_uuid
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_03_2011_MD_JH.JPG,858361,jpg,decompressed,d78dde33_Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_03_2011_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_close_03_2011_MD_JH.JPG,796443,jpg,decompressed,08ca26db_Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_close_03_2011_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Iribanga_Fulbe_70052_N14_09_W03_27_village_05_2011_BT_JH.JPG,2859938,jpg,decompressed,e9c97d55_Fulfulde_Iribanga_Fulbe_70052_N14_09_W03_27_village_05_2011_BT_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Isseye_70053_N14_52_W02_01_market_stalls_03_2011_JH.JPG,2232431,jpg,decompressed,587441e1_Fulfulde_Isseye_70053_N14_52_W02_01_market_stalls_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Isseye_70053_N14_52_W02_01_village_03_2011_JH.JPG,2229348,jpg,decompressed,6368f28d_Fulfulde_Isseye_70053_N14_52_W02_01_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kiri_Fulbe_70055_N15_17_W01_38_near_Hombori_06_2011_JH.JPG,1877417,jpg,decompressed,7174652a_Fulfulde_Kiri_Fulbe_70055_N15_17_W01_38_near_Hombori_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_JH.JPG,2276803,jpg,decompressed,07adc8f5_Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens1_JH.JPG,2188768,jpg,decompressed,660ad4a9_Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens1_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens2_JH.JPG,3356075,jpg,decompressed,de00a1b4_Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens2_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kodiol_70057_N14_36_W03_52_village_03_2012_MD_JH.JPG,1860066,jpg,decompressed,68c0882a_Fulfulde_Kodiol_70057_N14_36_W03_52_village_03_2012_MD_JH.JPG
