file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
e5b2481f_49UF20121024_bundle.zip,49043,337210,337210,8,0.0019276142120361328,8.392333984375e-05
0c97b38f_642B20131016_bundle.zip,802269,4537957,4537957,8,0.023952484130859375,8.606910705566406e-05
b51a8994_33WA20151110_bundle.zip,102825,228712,228712,8,0.001832723617553711,8.749961853027344e-05
14cbc55e_33WA20141201_bundle.zip,160880,447794,447794,8,0.003279447555541992,9.012222290039062e-05
a577e10a_61TG20140926_bundle.zip,517510,1612717,1612717,8,0.010041475296020508,9.679794311523438e-05
ef5e0d6f_33KF20141004_bundle.zip,134415,349579,349579,8,0.0026574134826660156,8.916854858398438e-05
b2bf14a5_49UP20110307_bundle.zip,14227,86325,86325,8,0.0007600784301757812,8.177757263183594e-05
b3b7c309_49UP19970913_bundle.zip,18517,87233,87233,8,0.0008082389831542969,9.417533874511719e-05
43ebb1d0_PAT520140330_bundle.zip,143486,379420,379420,8,0.003184795379638672,9.298324584960938e-05
5b0f50f9_PAT520140312_bundle.zip,167926,450151,450151,8,0.0037109851837158203,9.393692016601562e-05
71fa7b00_642B20120526_bundle.zip,953377,4792793,4792793,8,0.026799917221069336,8.559226989746094e-05
1ace887f_PAT520140923_bundle.zip,98180,256265,256265,8,0.0022382736206054688,0.00010609626770019531
720b49f9_SOCATv2_Indian.zip,3653185,36612023,36612023,8,0.15038013458251953,0.000141143798828125
4f799b81_49UF20031028_bundle.zip,33767,224542,224542,8,0.0014317035675048828,8.20159912109375e-05
0bbe3a40_49UF20120826_bundle.zip,29025,174584,174584,8,0.0012068748474121094,8.296966552734375e-05
e46124b5_SOCATv3_NorthAtlantic.zip,36567395,236217770,236217770,8,1.1701202392578125,0.0001697540283203125
4bde2fdd_49UP20000122_bundle.zip,26089,155934,155934,8,0.001138925552368164,8.249282836914062e-05
f5455189_PAT520141006_bundle.zip,169555,455121,455121,8,0.0037200450897216797,9.202957153320312e-05
f53bf08c_09FA19901002_bundle.zip,292044,548992,548992,8,0.0037560462951660156,0.00011467933654785156
5c8c879d_64RJ20130906_bundle.zip,233390,662675,662675,8,0.004616975784301758,0.00010466575622558594
c6634800_49UP20110705_bundle.zip,77469,517594,517594,8,0.002765655517578125,8.296966552734375e-05
8a8b4c3f_33KF20140920_bundle.zip,108203,222926,222926,8,0.0018854141235351562,8.821487426757812e-05
b824a55a_49UF20111205_bundle.zip,22889,151031,151031,8,0.0010364055633544922,8.273124694824219e-05
1683838e_33RO20150410_bundle.zip,592525,2322878,2322878,8,0.014709234237670898,9.894371032714844e-05
984a4eb2_33GG20100502_bundle.zip,196210,591115,591115,8,0.0040130615234375,9.083747863769531e-05
74518969_SOCATv1.5_NorthPacific_2011_09_22.zip,6914312,40950793,40950793,8,0.21027684211730957,0.0001404285430908203
906d40cc_49WB20141025_bundle.zip,203771,668275,668275,8,0.004317283630371094,8.463859558105469e-05
687bf4e9_33WA20140617_bundle.zip,573163,2393610,2393610,8,0.014567375183105469,9.036064147949219e-05
46348cd4_49UF20100811_bundle.zip,27209,171437,171437,8,0.0011682510375976562,8.344650268554688e-05
7e1fb2ac_33WA20150507_bundle.zip,297227,1230190,1230190,8,0.007405996322631836,9.1552734375e-05
fbbdc61f_33RO20140225_bundle.zip,294184,977570,977570,8,0.006502866744995117,0.00011491775512695312
b6f02fe7_49UF20080117_bundle.zip,55644,379016,379016,8,0.002118825912475586,8.320808410644531e-05
4ccd5614_26NA20140612_bundle.zip,99149,427741,427741,8,0.0028429031372070312,8.273124694824219e-05
bd0a18e0_49UP20080123_bundle.zip,43990,286101,286101,8,0.0017540454864501953,8.368492126464844e-05
1f67af52_33KF20150109_bundle.zip,200522,662942,662942,8,0.004411935806274414,9.012222290039062e-05
858a0eaa_26NA20140307_bundle.zip,76259,324306,324306,8,0.002244234085083008,8.487701416015625e-05
e27eb546_33KF20140906_bundle.zip,135916,355666,355666,8,0.002685070037841797,8.821487426757812e-05
09a8b25a_Polarstern ANTXIII_1.zip,212469,951973,951973,8,0.006077289581298828,9.942054748535156e-05
f23a45e6_PAT520150506_bundle.zip,135558,354528,354528,8,0.002972126007080078,9.775161743164062e-05
258c9a6b_PACIFICA_Database.csv.zip,19581741,125704942,125704942,8,0.6229884624481201,0.00017499923706054688
79d4ea98_49UP20121116_bundle.zip,28043,161185,161185,8,0.0012559890747070312,8.320808410644531e-05
3686a54c_33WA20130503_bundle.zip,110135,276458,276458,8,0.002064228057861328,8.821487426757812e-05
43890e66_SurfaceAlkalinityClimatology.zip,10021691,17836553,17836553,8,0.09260034561157227,0.00030684471130371094
98208247_Archive.zip,5390417,5743640,5743640,8,0.045075416564941406,0.0002503395080566406
e17d0528_49UP20070502_bundle.zip,15944,90846,90846,8,0.0008451938629150391,8.845329284667969e-05
479c6bd0_PACIFICAsource.zip,14547091,101240986,101240986,8,0.5573170185089111,0.0035469532012939453
1766cdd2_65DK20150619_bundle.zip,502915,953773,953773,8,0.006159543991088867,0.00017380714416503906
0a319d09_SOCATv1.5_gridded_12-month_climatology.zip,2103623,24890400,24890400,8,0.09746170043945312,0.00010895729064941406
eddde9ec_MLCE20150223_bundle.zip,191314,561521,561521,8,0.003968238830566406,0.00010061264038085938
e0a31fb6_49RY19900615_bundle.zip,9600,49925,49925,8,0.00060272216796875,8.249282836914062e-05
c6bbd553_SOCAT_tracks_gridded_monthly_v4.zip,11569655,1430805260,1430805260,8,4.145231485366821,0.00016188621520996094
21097aef_49UP20090117_bundle.zip,48585,314358,314358,8,0.0021016597747802734,8.559226989746094e-05
0dd518de_91AH20131201_bundle.zip,1119650,3924552,3924552,8,0.025983572006225586,8.893013000488281e-05
91e35fb6_49UF20101110_bundle.zip,29451,193332,193332,8,0.0012922286987304688,8.416175842285156e-05
82eaee55_09FS20100908_bundle.zip,665092,989174,989174,8,0.005794048309326172,9.417533874511719e-05
9bbc5cc7_MLCE20150406_bundle.zip,197600,585199,585199,8,0.005473613739013672,0.00010037422180175781
d8373689_33WA20150413_bundle.zip,160456,451827,451827,8,0.003342151641845703,9.202957153320312e-05
71103d94_642B20110119_bundle.zip,669004,3657183,3657183,8,0.02052617073059082,8.606910705566406e-05
0006da12_33WA20150601_bundle.zip,156440,450282,450282,8,0.003202199935913086,8.821487426757812e-05
66abba82_49UP20050616_bundle.zip,38830,210281,210281,8,0.0015072822570800781,8.368492126464844e-05
